,Name,Genre,Revenue,Director,Tomatometer,Audience
77,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
78,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
79,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
80,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
81,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
82,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
83,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
84,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
85,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
86,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
87,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
88,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
89,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
90,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
91,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
92,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
93,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
94,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
95,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
96,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
97,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
98,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
99,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
100,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
101,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
102,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
103,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
104,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
105,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
106,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
107,Code 8,Sci-fi,,Jeff Chan,81,62
108,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
109,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
110,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
111,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
112,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
113,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
114,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
115,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
116,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
