,Name,Genre,Revenue,Director,Tomatometer,Audience
893,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
894,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
895,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
896,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
897,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
898,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
899,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
900,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
901,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
902,Dune,"Sci-fi, Adventure",,David Lynch,37,65
903,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
904,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
905,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
906,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
907,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
908,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
909,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
910,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
911,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
912,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
913,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
914,Ferrari,Drama,$18.5M,Michael Mann,72,74
915,May December,"Drama, Romance",,Todd Haynes,9,66
916,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
917,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
918,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
919,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
920,Upgraded,"Romance, Comedy",,Carlson Young,77,67
921,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
922,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
923,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
924,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
925,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
926,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
927,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
928,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
929,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
930,Reptile,"Crime, Drama",,Grant Singer,45,7
931,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
932,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
933,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
934,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
935,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
936,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
937,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
938,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
939,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
940,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
941,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
942,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
943,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
944,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
945,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
946,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
947,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
948,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
949,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
950,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
951,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
952,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
953,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
954,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
955,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
956,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
957,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
958,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
959,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
960,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
961,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
962,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
963,Memory,Drama,$378.7K,Michel Franco,84,73
964,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
965,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
966,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
967,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
968,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
969,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
970,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
971,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
972,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
973,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
974,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
975,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
976,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
977,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
978,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
979,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
980,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
981,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
982,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
983,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
984,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
985,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
986,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
987,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
988,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
989,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
990,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
991,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
992,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
993,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
994,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
995,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
996,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
997,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
998,Code 8,Sci-fi,,Jeff Chan,81,62
999,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
1000,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
1001,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
1002,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
1003,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
1004,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
1005,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
1006,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
1007,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
1008,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
1009,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
1010,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
1011,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
1012,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
1013,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
1014,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
1015,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
1016,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
1017,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
1018,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
1019,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
1020,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
1021,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
1022,Dune,"Sci-fi, Adventure",,David Lynch,37,65
1023,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
1024,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
1025,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
1026,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
1027,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
1028,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
1029,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
1030,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
1031,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
1032,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
1033,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
1034,Ferrari,Drama,$18.5M,Michael Mann,72,74
1035,May December,"Drama, Romance",,Todd Haynes,9,66
1036,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
1037,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
1038,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
1039,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
1040,Upgraded,"Romance, Comedy",,Carlson Young,77,67
1041,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
1042,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
1043,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
1044,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
1045,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
1046,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
1047,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
1048,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
1049,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
1050,Reptile,"Crime, Drama",,Grant Singer,45,7
1051,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
1052,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
1053,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
1054,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
1055,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
1056,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
1057,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
1058,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
1059,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
1060,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
1061,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
1062,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
1063,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
1064,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
1065,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
1066,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
1067,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
1068,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
1069,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
1070,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
1071,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
1072,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
1073,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
1074,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
1075,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
1076,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
1077,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
1078,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
1079,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
1080,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
1081,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
1082,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
1083,Memory,Drama,$378.7K,Michel Franco,84,73
1084,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
1085,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
1086,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
1087,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
1088,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
1089,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
1090,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
1091,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
1092,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
1093,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
1094,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
1095,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
1096,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
1097,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
1098,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
1099,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
1100,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
1101,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
1102,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
1103,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,75
1104,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
1105,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
1106,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
1107,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
1108,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
1109,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
1110,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
1111,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
1112,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
1113,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
1114,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
1115,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
1116,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
1117,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
1118,Code 8,Sci-fi,,Jeff Chan,81,62
1119,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
1120,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
1121,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
1122,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
1123,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
1124,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
1125,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
1126,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
1127,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
1128,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
1129,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
1130,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
1131,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
1132,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
1133,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
1134,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
1135,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
1136,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
1137,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
1138,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
1139,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
1140,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
1141,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
1142,Dune,"Sci-fi, Adventure",,David Lynch,37,65
1143,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
1144,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
1145,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
1146,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
1147,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
1148,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
1149,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
1150,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
1151,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
1152,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
1153,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
1154,Ferrari,Drama,$18.5M,Michael Mann,72,74
1155,May December,"Drama, Romance",,Todd Haynes,9,66
1156,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
1157,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
1158,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
1159,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
1160,Upgraded,"Romance, Comedy",,Carlson Young,77,67
1161,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
1162,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
1163,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
1164,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
1165,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
1166,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
1167,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
1168,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
1169,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
1170,Reptile,"Crime, Drama",,Grant Singer,45,7
1171,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
1172,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
1173,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
1174,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
1175,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
1176,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
1177,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
1178,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
1179,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
1180,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
1181,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
1182,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
1183,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
1184,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
1185,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
1186,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
1187,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
1188,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
1189,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
1190,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
1191,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
1192,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
1193,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
1194,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
1195,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
1196,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
1197,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
1198,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
1199,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
1200,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
1201,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
1202,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
1203,Memory,Drama,$378.7K,Michel Franco,84,73
1204,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
1205,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
1206,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
1207,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
1208,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
1209,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
1210,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
1211,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
1212,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
1213,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
1214,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
1215,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
1216,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
1217,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
